Executing from unexpected area: 9:1002
read from address f04210 PC=80dc
read from address f0012c PC=80df
read from address f02140 PC=80e4
read from address f00133 PC=80e7
read from address f0012d PC=8106
read from address f02141 PC=810b
read from address f00131 PC=810e
read from address f0012e PC=8121
read from address f0012f PC=8127
read from address f00710 PC=89ea
read from address f00ace PC=8a15
read from address f00acf PC=8a15
read from address f00ad2 PC=8a21
read from address f00ad3 PC=8a21
read from address f00ad6 PC=8a2a
read from address f00ad7 PC=8a2a
read from address f00acc PC=8a44
read from address f00acd PC=8a44
read from address f00ad0 PC=8a4d
read from address f00ad1 PC=8a4d
read from address f00ad4 PC=8a56
read from address f00ad5 PC=8a56
read from address f00ac0 PC=8a70
read from address f00ac1 PC=8a70
read from address f00ac4 PC=8a79
read from address f00ac5 PC=8a79
read from address f00ac8 PC=8a82
read from address f00ac9 PC=8a82
read from address f00ae0 PC=8a8b
read from address f00ae1 PC=8a8b
read from address f00ad8 PC=8a97
read from address f00ad9 PC=8a97
read from address f00ac2 PC=8aab
read from address f00ac3 PC=8aab
read from address f00ac6 PC=8ab4
read from address f00ac7 PC=8ab4
read from address f00aca PC=8abd
read from address f00acb PC=8abd
read from address f00ae2 PC=8ac6
read from address f00ae3 PC=8ac6
read from address f00ada PC=8ad2
read from address f00adb PC=8ad2
read from address f00aec PC=8ae4
read from address f00aed PC=8ae4
read from address f00af0 PC=8aed
read from address f00af1 PC=8aed
read from address f00aee PC=8b0a
read from address f00aef PC=8b0a
read from address f00af2 PC=8b13
read from address f00af3 PC=8b13
read from address f00af4 PC=8b28
read from address f00adc PC=8b53
read from address f00add PC=8b53
read from address f00134 PC=8b59
read from address f00135 PC=8b59
read from address f093fe PC=8bd6
read from address f09407 PC=8bdb
read from address f09410 PC=8be0
read from address f00b82 PC=c9c3
read from address f0794b PC=c9d7
read from address f01e83 PC=c9db
read from address f03d6b PC=c9e7
read from address f03ceb PC=c9eb
read from address f07a04 PC=c9f1
read from address f03d48 PC=ca1f
read from address f03d48 PC=ca23
read from address f0c006 PC=ca51
read from address f0be07 PC=ca59
read from address f0b920 PC=ca70
read from address f0abe7 PC=ca72
read from address f0c047 PC=ca81
read from address f0bd48 PC=ca89
read from address f07948 PC=ca99
read from address f0794a PC=cac7
read from address f01dca PC=cacb
read from address f03d6a PC=cad7
read from address f03cea PC=cadb
read from address f018ad PC=cae8
read from address f018ad PC=caea
read from address f00000 PC=caee
read from address f018ad PC=caf0
read from address f018ad PC=caf2
read from address f00002 PC=caf4
read from address f03748 PC=caf7
read from address f026c8 PC=cafd
read from address f00000 PC=cb06
read from address f018ad PC=cb08
read from address f018ad PC=cb0a
read from address f00004 PC=cb0c
read from address f0794b PC=cb0f
read from address f01dcc PC=cb13
read from address f03d6b PC=cb1f
read from address f03ceb PC=cb23
read from address f0794c PC=cb27
read from address f01dcd PC=cb2b
read from address f03d6c PC=cb37
read from address f03cec PC=cb3b
read from address f03748 PC=cb3f
read from address f026c8 PC=cb45
read from address f00000 PC=cb4e
read from address f018af PC=cb50
read from address f018af PC=cb52
read from address f00008 PC=cb54
read from address f0794e PC=cb59
read from address f00000 PC=cb80
read from address f00000 PC=cb82
read from address f07a39 PC=cb8f
read from address f07ab0 PC=cb93
read from address f0016c PC=cb95
read from address f0851c PC=cb97
read from address f034e8 PC=cb9d
read from address f07a30 PC=cba9
read from address f009cd PC=cbad
read from address f000f8 PC=cbb6
read from address f0aa01 PC=cbb8
read from address f0aa01 PC=cbba
read from address f00008 PC=cbbc
read from address f09e57 PC=bf947b
read from address f02057 PC=bf947e
read from address f05d57 PC=bf9481
read from address f02459 PC=bf9484
read from address f063b2 PC=bf9489
read from address f072b2 PC=bf948c
read from address f02e45 PC=bf948e
read from address fff0ff PC=bf9492
read from address f08f1b PC=bf08b5
